2024/04/29 18:00,01F3590S,01F3640S,32,82,77
2024/04/29 18:00,01F3590S,01F3640S,41,72,2
2024/04/29 18:00,01F3590S,01F3640S,42,72,7
2024/04/29 18:00,01F3590S,01F3640S,5,75,32
2024/04/29 18:00,01F3640S,01F3676S,31,68,213
2024/04/29 18:00,01F3640S,01F3676S,32,66,68
2024/04/29 18:00,01F3640S,01F3676S,41,61,3
2024/04/29 18:00,01F3640S,01F3676S,42,64,11
2024/04/29 18:00,01F3640S,01F3676S,5,64,31
2024/04/29 18:00,01F3676S,01F3686S,31,86,209
2024/04/29 18:00,01F3676S,01F3686S,32,90,70
2024/04/29 18:00,01F3676S,01F3686S,41,79,2
2024/04/29 18:00,01F3676S,01F3686S,42,79,15
2024/04/29 18:00,01F3676S,01F3686S,5,79,34
2024/04/29 18:00,01F3686S,01F3736S,31,82,7
2024/04/29 18:00,01F3686S,01F3736S,32,99,2
2024/04/29 18:00,01F3686S,01F3736S,41,0,0
2024/04/29 18:00,01F3686S,01F3736S,42,90,1
2024/04/29 18:00,01F3686S,01F3736S,5,79,8
2024/04/29 18:00,01F0099S,01H0163S,31,104,47
2024/04/29 18:00,01F0099S,01H0163S,32,106,10
2024/04/29 18:00,01F0099S,01H0163S,41,0,0
2024/04/29 18:00,01F0099S,01H0163S,42,28,1
2024/04/29 18:00,01F0099S,01H0163S,5,0,0
2024/04/29 18:00,01H0163S,01H0206S,31,36,93
2024/04/29 18:00,01H0163S,01H0206S,32,36,19
2024/04/29 18:00,01H0163S,01H0206S,41,36,3
2024/04/29 18:00,01H0163S,01H0206S,42,0,0
2024/04/29 18:00,01H0163S,01H0206S,5,0,0
2024/04/29 18:00,01H0206S,01H0305S,31,68,213
2024/04/29 18:00,01H0206S,01H0305S,32,64,57
2024/04/29 18:00,01H0206S,01H0305S,41,66,2
2024/04/29 18:00,01H0206S,01H0305S,42,0,0
2024/04/29 18:00,01H0206S,01H0305S,5,0,0
2024/04/29 18:00,01H0305S,01H0334S,31,82,79
2024/04/29 18:00,01H0305S,01H0334S,32,75,21
2024/04/29 18:00,01H0305S,01H0334S,41,79,2
2024/04/29 18:00,01H0305S,01H0334S,42,0,0
2024/04/29 18:00,01H0305S,01H0334S,5,0,0
2024/04/29 18:00,01F0339S,01H0447S,31,90,111
2024/04/29 18:00,01F0339S,01H0447S,32,90,42
2024/04/29 18:00,01F0339S,01H0447S,41,0,0
2024/04/29 18:00,01F0339S,01H0447S,42,0,0
2024/04/29 18:00,01F0339S,01H0447S,5,0,0
2024/04/29 18:00,01H0334S,01H0447S,31,93,72
2024/04/29 18:00,01H0334S,01H0447S,32,90,16
2024/04/29 18:00,01H0334S,01H0447S,41,0,0
2024/04/29 18:00,01H0334S,01H0447S,42,0,0
2024/04/29 18:00,01H0334S,01H0447S,5,0,0
2024/04/29 18:00,01H0447S,01H0579S,31,93,131
2024/04/29 18:00,01H0447S,01H0579S,32,97,28
2024/04/29 18:00,01H0447S,01H0579S,41,93,1
2024/04/29 18:00,01H0447S,01H0579S,42,0,0
2024/04/29 18:00,01H0447S,01H0579S,5,0,0
2024/04/29 18:00,01F0578S,01H0610S,31,46,78
2024/04/29 18:00,01F0578S,01H0610S,32,46,19
2024/04/29 18:00,01F0578S,01H0610S,41,46,2
2024/04/29 18:00,01F0578S,01H0610S,42,0,0
2024/04/29 18:00,01F0578S,01H0610S,5,0,0
2024/04/29 18:00,01H0579S,01H0610S,31,75,81
2024/04/29 18:00,01H0579S,01H0610S,32,75,15
2024/04/29 18:00,01H0579S,01H0610S,41,79,4
2024/04/29 18:00,01H0579S,01H0610S,42,0,0
2024/04/29 18:00,01H0579S,01H0610S,5,0,0
2024/04/29 18:00,01F0099S,03F0054N,31,25,3
2024/04/29 18:00,01F0099S,03F0054N,32,0,0
2024/04/29 18:00,01F0099S,03F0054N,41,0,0
2024/04/29 18:00,01F0099S,03F0054N,42,0,0
2024/04/29 18:00,01F0099S,03F0054N,5,0,0
2024/04/29 18:00,01F0099S,03F0116S,31,43,59
2024/04/29 18:00,01F0099S,03F0116S,32,43,22
2024/04/29 18:00,01F0099S,03F0116S,41,43,2
2024/04/29 18:00,01F0099S,03F0116S,42,0,0
2024/04/29 18:00,01F0099S,03F0116S,5,43,1
2024/04/29 18:00,01F0511S,03F0525N,31,43,12
2024/04/29 18:00,01F0511S,03F0525N,32,46,9
2024/04/29 18:00,01F0511S,03F0525N,41,0,0
2024/04/29 18:00,01F0511S,03F0525N,42,43,1
2024/04/29 18:00,01F0511S,03F0525N,5,43,1
2024/04/29 18:00,01F0511S,03F0559S,31,54,9
2024/04/29 18:00,01F0511S,03F0559S,32,48,4
2024/04/29 18:00,01F0511S,03F0559S,41,0,0
2024/04/29 18:00,01F0511S,03F0559S,42,50,1
2024/04/29 18:00,01F0511S,03F0559S,5,0,0
2024/04/29 18:00,01F0980S,03F0996N,31,64,61
2024/04/29 18:00,01F0980S,03F0996N,32,63,14
2024/04/29 18:00,01F0980S,03F0996N,41,0,0
2024/04/29 18:00,01F0980S,03F0996N,42,61,1
2024/04/29 18:00,01F0980S,03F0996N,5,0,0
2024/04/29 18:00,01F0980S,03F1022S,31,75,188
2024/04/29 18:00,01F0980S,03F1022S,32,72,29
2024/04/29 18:00,01F0980S,03F1022S,41,0,0
2024/04/29 18:00,01F0980S,03F1022S,42,72,9
2024/04/29 18:00,01F0980S,03F1022S,5,70,8
2024/04/29 18:00,01F1621S,03F1651N,31,0,0
2024/04/29 18:00,01F1621S,03F1651N,32,0,0
2024/04/29 18:00,01F1621S,03F1651N,41,0,0
2024/04/29 18:00,01F1621S,03F1651N,42,0,0
2024/04/29 18:00,01F1621S,03F1651N,5,0,0
2024/04/29 18:00,01F1621S,03F1710S,31,90,11
2024/04/29 18:00,01F1621S,03F1710S,32,55,2
2024/04/29 18:00,01F1621S,03F1710S,41,0,0
2024/04/29 18:00,01F1621S,03F1710S,42,0,0
2024/04/29 18:00,01F1621S,03F1710S,5,0,0
2024/04/29 18:00,01F1906S,03F1941N,31,79,14
2024/04/29 18:00,01F1906S,03F1941N,32,75,11
2024/04/29 18:00,01F1906S,03F1941N,41,0,0
2024/04/29 18:00,01F1906S,03F1941N,42,0,0
2024/04/29 18:00,01F1906S,03F1941N,5,68,1
2024/04/29 18:00,01F1906S,03F1991S,31,75,7
